data_extracao;descricao;estado;complemento;implantacao;logradouro_nome;num_inicial;num_final;defronte;cruzamento_nome;lado;fluxo;local_de_instal;;
2023-04-01 01:33:39.110;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;27/03/1979;R GEN VASCO ALVES;303.0;303.0;NÃO;R RIACHUELO;IMPAR;DECRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.110;PARADA OBRIGATÓRIA;INSTALADO;;27/03/1979;R GEN PORTINHO;355.0;355.0;NÃO;R DUQUE DE CAXIAS;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;30/03/1979;R DUQUE DE CAXIAS;715.0;0.0;NÃO;R GEN BENTO MARTINS;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;30/03/1979;R CEL FERNANDO MACHADO;1043.0;0.0;NÃO;R MARECHAL FLORIANO PEIXOTO;IMPAR;DECRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;PROIBIDO PARAR E ESTACIONAR;INSTALADO;- N/P DA LUMINÁRIA, JUNTO COM A PLACA DE PROIBIDO BUZINA;02/04/1979;R PROF ANNES DIAS;112.0;142.0;SIM;AV INDEPENDENCIA;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;PROIBIDO ESTACIONAR;INSTALADO;;02/05/1979;AV CEARA;1199.0;1221.0;NÃO;R CAIRU;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;03/05/1979;AV MARANHAO;204.0;204.0;SIM;AV PRESIDENTE FRANKLIN ROOSEVELT;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.112;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;04/05/1979;AV BERLIM;249.0;249.0;NÃO;AV BAHIA;IMPAR;DECRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.113;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;07/05/1979;R GEN JOAO TELLES;542.0;542.0;SIM;AV OSVALDO ARANHA;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.115;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;11/05/1979;R JOSE DO PATROCINIO;585.0;585.0;NÃO;R LUIZ AFONSO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.115;PARADA OBRIGATÓRIA;INSTALADO;;14/05/1979;R OLAVO BILAC;37.0;0.0;NÃO;R JOSE DO PATROCINIO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.115;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;JUNTO COM UMA R-1;14/05/1979;R ENG VESPUCIO DE ABREU;59.0;59.0;NÃO;R LAURINDO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.116;PARADA OBRIGATÓRIA;INSTALADO;R-1 - S1;14/05/1979;R JOSE DO PATROCINIO;1300.0;1300.0;SIM;R ALCIDES DE OLIVEIRA GOMES;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.116;PONTO DE PARADA (ÔNIBUS)                     ;INSTALADO;;15/05/1979;R DELFINO RIET;183.0;0.0;NÃO;R CALDRE E FIAO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.116;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;15/05/1979;R VICENTE DA FONTOURA;853.0;0.0;NÃO;R SANTANA;IMPAR;DECRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.118;PONTO DE PARADA (ÔNIBUS)                     ;INSTALADO;;21/05/1979;AV CINCO DE NOVEMBRO;53.0;0.0;NÃO;R PROF CLEMENTE PINTO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.118;PARADA OBRIGATÓRIA;INSTALADO;;23/05/1979;R MONTE ARRAES;126.0;0.0;SIM;R SANTA FLORA;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.109;DIVISÃO DE PISTA CONTÍNUA (BRANCA);INSTALADO;2X PISTAS DIREITA/ ESQUERDA;08/04/2000;AV NONOAI;651.0;651.0;NÃO;AV CRUZ ALTA;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2023-04-01 01:33:39.109;DIVISÃO DE PISTA INTERROMPIDA (BRANCA);INSTALADO;PISTA DIREITA;16/02/1979;R CONCEICAO;301.0;0.0;NÃO;R VOLUNTARIOS DA PATRIA;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2023-04-01 01:33:39.109;FAIXA DE TRAVESSIA DE PEDESTRES (ZEBRADA);INSTALADO;- 08TJ - 04MX0,40M;21/02/1979;AV JOSE BONIFACIO;497.0;0.0;NÃO;R VIEIRA DE CASTRO;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2023-04-01 01:33:39.110;SENTIDO PROIBIDO;INSTALADO;;22/03/1979;R DR FLORES;371.0;0.0;NÃO;AV SENADOR SALGADO FILHO;IMPAR;CRESCENTE;CALCADA          ;;
2023-04-01 01:33:39.110;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;R-24A - S1;01/09/1999;R DEMETRIO RIBEIRO;395.0;395.0;NÃO;R GEN CYPRIANO FERREIRA;IMPAR;CRESCENTE;CALCADA          ;;
